parameter,total,smart_fetch,pool_or_smart,sfhr_conservative,sfhr_upper
accountId,20,19,19,0.9500,0.9500
id,66,28,28,0.4242,0.4242
loginId,17,1,16,0.0588,0.9412
orderId,20,8,8,0.4000,0.4000
