parameter,total,hallucinated,abstained,lhr
accountId,21,0,0,0.0000
averageSpeed,19,0,1,0.0000
boughtDate,15,0,0,0.0000
boughtDateEnd,15,0,0,0.0000
boughtDateStart,15,0,0,0.0000
coachNumber,15,0,0,0.0000
confortClass,20,0,0,0.0000
consignee,5,0,0,0.0000
contactsDocumentNumber,15,0,0,0.0000
contactsName,15,0,0,0.0000
departureTime,20,0,0,0.0000
differenceMoney,15,0,0,0.0000
distanceList,5,0,0,0.0000
documentType,16,0,0,0.0000
economyClass,20,0,0,0.0000
enableBoughtDateQuery,18,0,0,0.0000
enableStateQuery,18,0,0,0.0000
enableTravelDateQuery,18,0,0,0.0000
endPlace,21,0,1,0.0000
endStation,5,0,0,0.0000
from,15,0,0,0.0000
handleDate,11,0,1,0.0000
id,84,4,0,0.0476
loginId,17,0,0,0.0000
name,20,0,0,0.0000
orderId,56,7,0,0.1250
phone,5,0,0,0.0000
price,17,0,1,0.0000
seatClass,17,0,1,0.0000
seatNumber,24,0,0,0.0000
startPlace,26,0,0,0.0000
startStation,5,0,0,0.0000
state,17,0,0,0.0000
stationList,6,0,1,0.0000
status,18,0,1,0.0000
stayTime,7,0,1,0.0000
targetDate,15,0,0,0.0000
to,15,0,0,0.0000
trainNumber,16,0,0,0.0000
travelDate,15,0,0,0.0000
travelDateEnd,16,0,0,0.0000
travelDateStart,15,0,0,0.0000
travelTime,18,0,2,0.0000
weight,15,0,0,0.0000
within,6,0,0,0.0000
