parameter,total,hallucinated,abstained,lhr
accountId,31,0,0,0.0000
averageSpeed,22,0,1,0.0000
boughtDate,15,0,0,0.0000
boughtDateEnd,23,0,0,0.0000
boughtDateStart,15,0,0,0.0000
coachNumber,17,0,0,0.0000
confortClass,22,0,1,0.0000
consignee,5,0,0,0.0000
contactsDocumentNumber,17,0,0,0.0000
contactsName,15,0,0,0.0000
departureTime,20,0,0,0.0000
differenceMoney,15,0,0,0.0000
distanceList,5,0,0,0.0000
documentType,15,0,0,0.0000
economyClass,20,0,0,0.0000
enableBoughtDateQuery,20,0,1,0.0000
enableStateQuery,18,0,0,0.0000
enableTravelDateQuery,28,7,0,0.2500
endPlace,20,0,0,0.0000
endStation,5,0,0,0.0000
from,16,0,0,0.0000
handleDate,5,0,0,0.0000
id,71,0,0,0.0000
loginId,15,0,0,0.0000
name,20,0,0,0.0000
orderId,58,0,0,0.0000
phone,5,0,0,0.0000
price,20,0,0,0.0000
seatClass,15,0,0,0.0000
seatNumber,15,0,0,0.0000
startPlace,20,0,1,0.0000
startStation,5,0,0,0.0000
state,17,0,0,0.0000
stationList,5,0,0,0.0000
status,15,0,0,0.0000
stayTime,5,0,0,0.0000
targetDate,7,0,1,0.0000
to,18,0,2,0.0000
trainNumber,15,0,0,0.0000
travelDate,16,0,0,0.0000
travelDateEnd,16,0,0,0.0000
travelDateStart,22,0,0,0.0000
travelTime,17,0,2,0.0000
weight,5,0,0,0.0000
within,5,0,0,0.0000
