trace_id,span_id,service,operation,source_field,value
06e72f6830bb81e3175014fddccb9afd,5fb1ed4fa02c50f1,ts-gateway-service,POST,http.url,12346
839326059ad57dea92d5f9aeb0a39789,ab8138a4a00071d9,ts-consign-service,GET /api/v1/consignservice/consigns/account/{id},http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
839326059ad57dea92d5f9aeb0a39789,8a3e599164a574a3,ts-gateway-service,GET,http.url,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
839326059ad57dea92d5f9aeb0a39789,8a3e599164a574a3,ts-gateway-service,GET,http.url,16111
839326059ad57dea92d5f9aeb0a39789,59b6762880df38af,ts-gateway-service,GET /*,http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
d269d4ae919d5cc8c204b981224e4c65,ed53fa18291d44cd,ts-gateway-service,GET,http.url,18767
d269d4ae919d5cc8c204b981224e4c65,55af7d7a6e5dee9b,ts-admin-basic-info-service,GET,http.url,14567
3fddc2d680d70b36059b71491a6a8bbf,28489a11dd51d2e1,ts-gateway-service,POST,http.url,12346
4fa7f5b0be6c5211158ffbc1f89b1071,1ddb1175cf837772,ts-gateway-service,POST,http.url,16346
8d529e5d3112c827450120b2eeab6aac,3eddf641bf5d2d82,ts-gateway-service,GET,http.url,15678
30bf91e6be39ad1bfe224c9a684ef10d,aaf9a14b41d7cd7e,ts-admin-route-service,GET,http.url,11178
30bf91e6be39ad1bfe224c9a684ef10d,3c0cc4d67a658316,ts-gateway-service,GET,http.url,16113
0302bbca764173aea945649c72e1e1a4,fb35cf288f1f3b7a,ts-gateway-service,POST,http.url,12031
e5384db2e384a7b76527b3b2f030a731,73edca5bb7ea11ee,ts-gateway-service,GET,http.url,15678
4ef49ce63fbf6e79a4975680c8f72de5,da3daeaa9f568630,ts-gateway-service,GET,http.url,15678
48b4b063743f858b01878785d66df1ac,acc8300819ab5fb5,ts-gateway-service,GET,http.url,14567
f01ca4b38b346f441d4274c4f332cc48,86f3dd1534b6be09,ts-gateway-service,POST,http.url,16346
695b1ea5a9cdd042566a90e5d7f7f3f1,f2c77c6d975685ef,ts-gateway-service,GET,http.url,15678
eb157dcef0f40e63bc27287ed3fb0d51,c60c8c7e9a8e2c2f,ts-gateway-service,POST,http.url,16113
fd8249d0cd49daa1feb705a09f585d6a,f858b3448d7d9683,ts-contacts-service,GET /api/v1/contactservice/contacts/account/{accountId},http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
