parameter,total,smart_fetch,pool_or_smart,sfhr_conservative,sfhr_upper
accountId,40,22,40,0.5500,1.0000
id,83,46,83,0.5542,1.0000
loginId,35,16,35,0.4571,1.0000
orderId,20,20,20,1.0000,1.0000
