scenario,test_method,step_idx,http_method,path,parameter,value,realistic,source
Flow_Scenario_295,test_positive_flow_S295_v12,2,POST,/api/v1/adminrouteservice/adminroute,startStation,star2606,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v12,2,POST,/api/v1/adminrouteservice/adminroute,stationList,sta3762,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v13,2,POST,/api/v1/adminrouteservice/adminroute,endStation,test94,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v13,2,POST,/api/v1/adminrouteservice/adminroute,startStation,star2606,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v13,2,POST,/api/v1/adminrouteservice/adminroute,stationList,sta3762,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v15,2,POST,/api/v1/adminrouteservice/adminroute,endStation,test94,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v15,2,POST,/api/v1/adminrouteservice/adminroute,startStation,star2606,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v15,2,POST,/api/v1/adminrouteservice/adminroute,stationList,sta3762,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v17,2,POST,/api/v1/adminrouteservice/adminroute,endStation,end1015,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v17,2,POST,/api/v1/adminrouteservice/adminroute,startStation,star2606,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v17,2,POST,/api/v1/adminrouteservice/adminroute,stationList,test739,false,unknown
Flow_Scenario_620,test_positive_flow_S620_v3,2,POST,/api/v1/travel2service/trips/left,endPlace,test490,false,unknown
Flow_Scenario_620,test_positive_flow_S620_v5,2,POST,/api/v1/travel2service/trips/left,startPlace,test509,false,unknown
Flow_Scenario_620,test_positive_flow_S620_v16,2,POST,/api/v1/travel2service/trips/left,endPlace,en2396,false,unknown
Flow_Scenario_745,test_positive_flow_S745_v2,2,POST,/api/v1/travelservice/trips/left,endPlace,test490,false,unknown
