parameter,total,hallucinated,abstained,lhr
accountId,17,0,0,0.0000
averageSpeed,31,0,0,0.0000
boughtDate,19,0,0,0.0000
boughtDateEnd,22,0,0,0.0000
boughtDateStart,22,0,0,0.0000
coachNumber,26,0,0,0.0000
confortClass,39,0,0,0.0000
consignee,6,0,0,0.0000
contactsDocumentNumber,19,0,0,0.0000
contactsName,14,0,0,0.0000
departureTime,38,0,0,0.0000
differenceMoney,19,0,0,0.0000
distanceList,5,0,0,0.0000
documentType,23,0,0,0.0000
economyClass,37,0,0,0.0000
enableBoughtDateQuery,19,0,0,0.0000
enableStateQuery,19,0,0,0.0000
enableTravelDateQuery,19,0,0,0.0000
endPlace,32,0,0,0.0000
endStation,15,0,0,0.0000
from,28,0,0,0.0000
handleDate,12,0,0,0.0000
id,67,0,0,0.0000
loginId,19,0,0,0.0000
name,24,0,0,0.0000
orderId,35,0,0,0.0000
phone,5,0,0,0.0000
price,19,0,0,0.0000
seatClass,24,0,0,0.0000
seatNumber,23,0,0,0.0000
startPlace,33,0,0,0.0000
startStation,12,0,0,0.0000
state,13,0,0,0.0000
stationList,12,0,0,0.0000
status,25,0,0,0.0000
stayTime,25,0,0,0.0000
targetDate,15,0,0,0.0000
to,24,0,0,0.0000
trainNumber,26,0,0,0.0000
travelDate,19,0,0,0.0000
travelDateEnd,21,0,0,0.0000
travelDateStart,23,0,0,0.0000
travelTime,23,0,0,0.0000
weight,15,0,0,0.0000
within,6,0,0,0.0000
