fault_label,total,pure,schema_unbounded,purity
EMPTY_INPUT,12,12,0,1.0000
NULL_INPUT,21,21,0,1.0000
OVERFLOW,246,226,0,0.9187
SEMANTIC_MISMATCH,702,585,0,0.8333
SPECIAL_CHARACTERS,882,686,0,0.7778
TYPE_MISMATCH,455,406,0,0.8923
