trace_id,span_id,service,operation,source_field,value
c2e9c8ef3a1046ea572a80d8cc1555da,b508b5b9b7ca8283,ts-gateway-service,POST,http.url,16113
c2e9c8ef3a1046ea572a80d8cc1555da,628723b3a589f103,ts-admin-route-service,POST,http.url,12345
c2e9c8ef3a1046ea572a80d8cc1555da,b9429c577f427c6a,ts-admin-route-service,POST,http.url,11178
d7976d243ebe89908f94818846a96232,1b38c2435fc25ad3,ts-admin-route-service,POST,http.url,11178
d7976d243ebe89908f94818846a96232,a59dd0483a3ad48c,ts-admin-route-service,POST,http.url,12345
d7976d243ebe89908f94818846a96232,d5776aebfbf1b55d,ts-gateway-service,POST,http.url,16113
12d5b9c1f4aa7df8d5e4adf51305aadd,2db8640d59eb56a1,ts-admin-order-service,POST,http.url,12032
12d5b9c1f4aa7df8d5e4adf51305aadd,a7f1ee810bb9ed40,ts-gateway-service,POST,http.url,16112
65270cdd6e43052a7cb4adde41806f47,078ffc47f7993158,ts-gateway-service,POST,http.url,18767
65270cdd6e43052a7cb4adde41806f47,0b87d2afb7ab0393,ts-admin-basic-info-service,POST,http.url,16579
bb0ec3a6c985934eb2b49b438212f77c,50290a09f9b35e78,ts-gateway-service,POST,http.url,12346
bb0ec3a6c985934eb2b49b438212f77c,7a2e2408b9408012,ts-seat-service,POST,http.url,12031
bb0ec3a6c985934eb2b49b438212f77c,f95c86c2dc718d00,ts-seat-service,GET,http.url,15679
bb0ec3a6c985934eb2b49b438212f77c,baa17c8b1c344d28,ts-seat-service,GET,http.url,15679
bb0ec3a6c985934eb2b49b438212f77c,dc6fd493e0f64faa,ts-seat-service,POST,http.url,12031
bb0ec3a6c985934eb2b49b438212f77c,02a98ca6cc911232,ts-basic-service,POST,http.url,12345
bb0ec3a6c985934eb2b49b438212f77c,161796114da9c9aa,ts-basic-service,POST,http.url,11178
bb0ec3a6c985934eb2b49b438212f77c,9a0d735587fb3d45,ts-basic-service,POST,http.url,14567
bb0ec3a6c985934eb2b49b438212f77c,cc32dd1b8d89e7fa,ts-basic-service,POST,http.url,16579
bb0ec3a6c985934eb2b49b438212f77c,7a36e32739892eaf,ts-travel-service,POST,http.url,18898
bb0ec3a6c985934eb2b49b438212f77c,362e32dea9e150d1,ts-travel-service,POST,http.url,18898
bb0ec3a6c985934eb2b49b438212f77c,4f0d9d74ffc680e9,ts-travel-service,POST,http.url,15680
fee0716f8ffd4d7694a9e42bf0fc6f72,a4b51913067b9222,ts-seat-service,GET,http.url,15679
fee0716f8ffd4d7694a9e42bf0fc6f72,eef5727ac3fbb08c,ts-seat-service,POST,http.url,12031
fee0716f8ffd4d7694a9e42bf0fc6f72,82917c631ac7b535,ts-seat-service,POST,http.url,12031
fee0716f8ffd4d7694a9e42bf0fc6f72,cde664644402a706,ts-seat-service,GET,http.url,15679
fee0716f8ffd4d7694a9e42bf0fc6f72,6be6cafcc9c34bda,ts-basic-service,POST,http.url,12345
fee0716f8ffd4d7694a9e42bf0fc6f72,8339bf408200b607,ts-basic-service,POST,http.url,11178
fee0716f8ffd4d7694a9e42bf0fc6f72,4ef1213edbcabf5f,ts-basic-service,POST,http.url,16579
fee0716f8ffd4d7694a9e42bf0fc6f72,8eaea9899a051dd1,ts-basic-service,POST,http.url,14567
fee0716f8ffd4d7694a9e42bf0fc6f72,e671705d8db2f2b7,ts-travel-service,POST,http.url,18898
fee0716f8ffd4d7694a9e42bf0fc6f72,e3a45eac07a2a8e1,ts-travel-service,POST,http.url,15680
fee0716f8ffd4d7694a9e42bf0fc6f72,3b15cbfe8ab30d63,ts-travel-service,POST,http.url,18898
fee0716f8ffd4d7694a9e42bf0fc6f72,88f82933214f5b63,ts-gateway-service,POST,http.url,12346
