parameter,total,smart_fetch,pool_or_smart,sfhr_conservative,sfhr_upper
accountId,51,33,51,0.6471,1.0000
id,259,99,132,0.3822,0.5097
loginId,40,22,40,0.5500,1.0000
orderId,20,20,20,1.0000,1.0000
