parameter,total,hallucinated,abstained,lhr
accountId,19,0,0,0.0000
averageSpeed,22,0,0,0.0000
boughtDate,16,0,0,0.0000
boughtDateEnd,16,0,0,0.0000
boughtDateStart,15,0,0,0.0000
coachNumber,22,0,0,0.0000
confortClass,20,0,0,0.0000
consignee,5,0,0,0.0000
contactsDocumentNumber,15,0,0,0.0000
contactsName,23,0,0,0.0000
departureTime,20,0,0,0.0000
differenceMoney,15,0,0,0.0000
distanceList,5,0,0,0.0000
documentType,18,0,0,0.0000
economyClass,20,0,0,0.0000
enableBoughtDateQuery,18,0,0,0.0000
enableStateQuery,18,0,0,0.0000
enableTravelDateQuery,19,0,0,0.0000
endPlace,20,0,0,0.0000
endStation,5,0,0,0.0000
from,18,0,1,0.0000
handleDate,5,0,0,0.0000
id,67,0,0,0.0000
loginId,18,0,0,0.0000
name,20,0,0,0.0000
orderId,49,0,0,0.0000
phone,5,0,0,0.0000
price,16,0,0,0.0000
seatClass,15,0,1,0.0000
seatNumber,20,0,0,0.0000
startPlace,25,0,0,0.0000
startStation,7,0,1,0.0000
state,15,0,0,0.0000
stationList,5,0,0,0.0000
status,16,0,0,0.0000
stayTime,7,0,1,0.0000
targetDate,5,0,0,0.0000
to,15,0,0,0.0000
trainNumber,15,0,0,0.0000
travelDate,16,0,0,0.0000
travelDateEnd,20,0,0,0.0000
travelDateStart,18,0,1,0.0000
travelTime,19,0,2,0.0000
weight,15,0,0,0.0000
within,5,0,0,0.0000
