http_method,path,parameter,location,total_values,distinct_values,shannon_bits,shannon_normalised,simpson_diversity
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,20,12,3.3842,0.7830,0.8900
POST,/api/v1/travel2service/trips/left,departureTime,body,15,12,3.5069,0.8976,0.9067
POST,/api/v1/travel2service/trips/left,endPlace,body,19,11,3.3264,0.7831,0.8920
POST,/api/v1/travel2service/trips/left,startPlace,body,20,12,3.4219,0.7918,0.8950
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,20,5,1.2918,0.2989,0.4200
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,20,5,1.8438,0.4266,0.6400
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,20,11,2.6610,0.6157,0.7250
POST,/api/v1/travelservice/trips/left,departureTime,body,20,14,3.6464,0.8437,0.9100
POST,/api/v1/travelservice/trips/left,endPlace,body,19,14,3.6819,0.8667,0.9141
POST,/api/v1/travelservice/trips/left,startPlace,body,16,13,3.6250,0.9062,0.9141
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,63,7,2.5563,0.4277,0.7906
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,63,5,2.0619,0.3450,0.7130
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,63,6,2.4128,0.4037,0.7846
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,95,5,1.6839,0.2563,0.5669
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,95,5,1.8475,0.2812,0.6300
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,95,5,1.7702,0.2694,0.5999
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,95,7,2.0923,0.3185,0.6449
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,95,5,1.6807,0.2558,0.5664
PUT,/api/v1/consignservice/consigns,accountId,body,20,6,1.5568,0.3602,0.4900
PUT,/api/v1/consignservice/consigns,consignee,body,20,5,1.6166,0.3741,0.5450
PUT,/api/v1/consignservice/consigns,from,body,20,6,1.5568,0.3602,0.4900
PUT,/api/v1/consignservice/consigns,handleDate,body,20,5,1.1219,0.2596,0.3500
PUT,/api/v1/consignservice/consigns,id,body,20,4,0.8476,0.1961,0.2700
PUT,/api/v1/consignservice/consigns,orderId,body,20,6,1.5568,0.3602,0.4900
PUT,/api/v1/consignservice/consigns,phone,body,20,5,1.4568,0.3371,0.4850
PUT,/api/v1/consignservice/consigns,targetDate,body,20,5,1.2918,0.2989,0.4200
PUT,/api/v1/consignservice/consigns,to,body,20,5,1.1219,0.2596,0.3500
PUT,/api/v1/consignservice/consigns,weight,body,20,9,2.1710,0.5023,0.6200
PUT,/api/v1/consignservice/consigns,within,body,20,2,0.7219,0.1670,0.3200
