fault_label,total,pure,schema_unbounded,purity
BOUNDARY_VIOLATION,248,0,248,0.0000
EMPTY_INPUT,12,12,0,1.0000
NULL_INPUT,21,21,0,1.0000
OVERFLOW,254,226,0,0.8898
SEMANTIC_MISMATCH,1224,956,0,0.7810
SPECIAL_CHARACTERS,1134,882,0,0.7778
TYPE_MISMATCH,455,406,0,0.8923
