"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 09 00:57:15 CDT 2026","Sat May 09 00:57:28 CDT 2026","13244","ts-execute-service","Flow_Scenario_420 | GET /api/v1/executeservice/execute/execute/{orderId}","[Fault: GET__api_v1_executeservice_execute_execute__orderId_] SPECIAL_CHARACTERS (v73)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_420","test_negative_flow_S420_v73_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S420_v73_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:25:34 CDT 2026","Sat May 09 00:25:42 CDT 2026","8343","ts-admin-basic-info-service","Flow_Scenario_1040 | POST /api/v1/adminbasicservice/adminbasic/stations","[Valid] v96","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_1040","test_positive_flow_S1040_v96","test_positive_flow_S1040_v96","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:34:09 CDT 2026","Sat May 09 01:34:24 CDT 2026","14745","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] SEMANTIC_MISMATCH (v119)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v119_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S3_v119_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:42:17 CDT 2026","Sat May 09 00:42:26 CDT 2026","9256","ts-travel2-service","Flow_Scenario_749 | POST /api/v1/travel2service/trips/left","[Fault: POST__api_v1_travel2service_trips_left] SPECIAL_CHARACTERS (v92)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_749","test_negative_flow_S749_v92_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S749_v92_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:02:01 CDT 2026","Sat May 09 00:02:16 CDT 2026","14397","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Valid] v15","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_positive_flow_S276_v15","test_positive_flow_S276_v15","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:35:24 CDT 2026","Sat May 09 00:35:37 CDT 2026","12673","ts-travel2-service","Flow_Scenario_749 | POST /api/v1/travel2service/trips/left","[Fault: POST__api_v1_travel2service_trips_left] OVERFLOW (v33)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_749","test_negative_flow_S749_v33_fault_Root1_OVERFLOW","test_negative_flow_S749_v33_fault_Root1_OVERFLOW","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:30:46 CDT 2026","Sat May 09 00:30:51 CDT 2026","5100","ts-travel2-service","Flow_Scenario_749 | POST /api/v1/travel2service/trips/left","[Valid] v7","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_749","test_positive_flow_S749_v7","test_positive_flow_S749_v7","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:33:00 CDT 2026","Sat May 09 00:33:14 CDT 2026","14122","ts-travel2-service","Flow_Scenario_749 | POST /api/v1/travel2service/trips/left","[Fault: POST__api_v1_travel2service_trips_left] TYPE_MISMATCH (v31)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_749","test_negative_flow_S749_v31_fault_Root1_TYPE_MISMATCH","test_negative_flow_S749_v31_fault_Root1_TYPE_MISMATCH","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:38:08 CDT 2026","Fri May 08 23:38:18 CDT 2026","9250","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SPECIAL_CHARACTERS (v124)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v124_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S475_v124_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 02:38:18 CDT 2026","Sat May 09 02:38:31 CDT 2026","13262","ts-admin-travel-service","Flow_Scenario_1088 | DELETE /api/v1/admintravelservice/admintravel/{tripId}","[Valid] v48","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_1088","test_positive_flow_S1088_v48","test_positive_flow_S1088_v48","Microservice test scenario with 1 steps."
